Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
2013,0.2,0.5,-0.3,-0.2,0.0,0.2,0.2,0.2,0.0,0.1,0.2,0.3,,
2014,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,-0.2,-0.3,,
2015,-0.6,0.3,0.3,0.1,0.3,0.3,0.2,0.0,-0.2,0.1,0.1,-0.1,,
2016,0.0,-0.1,0.3,0.4,0.2,0.3,-0.1,0.2,0.3,0.2,0.1,0.3,,
2017,0.4,0.2,0.0,0.1,-0.1,0.1,0.0,0.4,0.5,0.1,0.3,0.2,,
2018,0.4,0.3,0.0,0.3,0.2,0.1,0.1,0.2,0.2,0.2,-0.1,0.1,,
2019,0.0,0.2,0.3,0.4,0.0,-0.1,0.2,0.1,0.2,0.3,0.2,0.3,,
2020,0.2,0.1,-0.4,-0.8,-0.1,0.4,0.5,0.4,0.2,0.1,0.2,0.5,,
2021,0.2,0.4,0.5,0.7,0.7,0.8,0.4,0.4,0.4,0.9,0.8,0.8,,
2022,0.6,0.7,1.0,0.4,0.9,1.2,0.0,0.2,0.4,0.5,0.2,0.1,,
2023,0.5,0.4,0.1,0.4,0.1,0.2,,,,,,,,
