Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,798,827,842,856,830
2008,842,855,854,889,861
2009,869,909,877,877,880
2010,859,873,854,828,855
2011,831,872,869,880,866
2012,918,930,915,910,920
2013,951,973,922,916,942
2014,955,954,945,959,953
2015,966,965,974,1091,993
2016,1032,1021,1010,1022,1021
2017,1019,1103,1010,1061,1043
2018,1066,1083,1128,1095,1095
2019,1157,1152,1247,1166,1174
2020,1221,1336,1392,1261,1310
2021,1286,1281,1309,1384,1328
2022,1362,1336,1442,1496,1401
2023,1468,1449,,,
