Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,864,942,947,968,936
2008,939,975,960,989,966
2009,951,969,941,941,952
2010,940,901,963,947,936
2011,948,972,1015,960,970
2012,1027,1092,1043,1051,1055
2013,1058,1117,1027,1019,1059
2014,1045,1139,1087,1067,1080
2015,1090,1085,1133,1178,1129
2016,1159,1147,1154,1147,1151
2017,1205,1254,1147,1237,1207
2018,1199,1245,1252,1256,1241
2019,1299,1331,1360,1335,1336
2020,1360,1479,1542,1457,1447
2021,1408,1473,1414,1499,1453
2022,1452,1496,1656,1647,1559
2023,1573,1617,,,
