Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,1030,1092,1088,1086,1072
2008,1108,1105,1131,1115,1115
2009,1138,1140,1145,1121,1137
2010,1140,1138,1158,1139,1144
2011,1150,1141,1152,1158,1150
2012,1158,1164,1170,1168,1165
2013,1189,1193,1174,1219,1194
2014,1199,1187,1170,1224,1193
2015,1227,1210,1234,1245,1230
2016,1250,1249,1266,1270,1259
2017,1280,1290,1271,1278,1279
2018,1286,1310,1338,1340,1324
2019,1350,1357,1383,1382,1367
2020,1386,1416,1457,1421,1421
2021,1426,1438,1474,1467,1452
2022,1525,1547,1556,1547,1544
2023,1621,1588,,,
