Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
2007,1206,1220,1254,1259,1236
2008,1259,1298,1333,1272,1287
2009,1326,1332,1336,1309,1328
2010,1361,1341,1368,1334,1351
2011,1336,1344,1354,1351,1346
2012,1367,1368,1381,1379,1373
2013,1412,1387,1365,1394,1389
2014,1419,1377,1359,1401,1386
2015,1393,1377,1394,1445,1403
2016,1435,1425,1447,1476,1444
2017,1471,1451,1470,1487,1470
2018,1533,1512,1487,1544,1521
2019,1574,1561,1559,1571,1567
2020,1603,1619,1636,1627,1624
2021,1667,1641,1661,1663,1658
2022,1748,1743,1769,1761,1755
2023,1855,1787,,,
