"","Date","State","Index Type","Seasonally adjusted percentage","Non-seasonally adjusted percentage"
"1",2020-02-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100,100
"2",2020-02-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100,100.1
"3",2020-02-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100,100.2
"4",2020-02-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.1,100.4
"5",2020-02-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.2,100.5
"6",2020-02-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,100.7
"7",2020-02-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,100.8
"8",2020-02-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,100.9
"9",2020-02-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,100.9
"10",2020-02-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.4,101
"11",2020-02-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.4,101.1
"12",2020-02-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.4,101.2
"13",2020-02-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,101.1
"14",2020-02-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100.3,101.2
"15",2020-02-15,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",100,100.9
"16",2020-02-16,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.7,100.7
"17",2020-02-17,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.4,100.5
"18",2020-02-18,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",99.1,100.3
"19",2020-02-19,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.9,100.2
"20",2020-02-20,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.7,100.2
"21",2020-02-21,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.5,100.1
"22",2020-02-22,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.4,100.2
"23",2020-02-23,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.4,100.3
"24",2020-02-24,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.4,100.5
"25",2020-02-25,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.4,100.6
"26",2020-02-26,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.4,100.7
"27",2020-02-27,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.5,101
"28",2020-02-28,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.6,101.1
"29",2020-02-29,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.6,101.3
"30",2020-03-01,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.6,101.4
"31",2020-03-02,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.5,101.5
"32",2020-03-03,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.4,101.5
"33",2020-03-04,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.3,101.6
"34",2020-03-05,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.2,101.7
"35",2020-03-06,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.2,101.8
"36",2020-03-07,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.2,102
"37",2020-03-08,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.3,102.2
"38",2020-03-09,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.3,102.4
"39",2020-03-10,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.5,102.8
"40",2020-03-11,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.6,103
"41",2020-03-12,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.5,103
"42",2020-03-13,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.3,103
"43",2020-03-14,"Illinois","Indeed Job Postings Index, Feb 01 2020 = 100",98.1,102.9
