Series ID,Year,Period,Label,Value Unemploy,Yearly average unemploy,Il Pop
LASST170000000000004,2013,M01,2013 Jan,605461,594350.5,12882135
LASST170000000000004,2013,M02,2013 Feb,608400,,
LASST170000000000004,2013,M03,2013 Mar,609111,,
LASST170000000000004,2013,M04,2013 Apr,607810,,
LASST170000000000004,2013,M05,2013 May,605607,,
LASST170000000000004,2013,M06,2013 Jun,603303,,
LASST170000000000004,2013,M07,2013 Jul,600942,,
LASST170000000000004,2013,M08,2013 Aug,596298,,
LASST170000000000004,2013,M09,2013 Sep,588244,,
LASST170000000000004,2013,M10,2013 Oct,578716,,
LASST170000000000004,2013,M11,2013 Nov,569096,,
LASST170000000000004,2013,M12,2013 Dec,559218,,
LASST170000000000004,2014,M01,2014 Jan,547499,467472.5,12880580
LASST170000000000004,2014,M02,2014 Feb,532876,,
LASST170000000000004,2014,M03,2014 Mar,516285,,
LASST170000000000004,2014,M04,2014 Apr,499029,,
LASST170000000000004,2014,M05,2014 May,482035,,
LASST170000000000004,2014,M06,2014 Jun,466575,,
LASST170000000000004,2014,M07,2014 Jul,453314,,
LASST170000000000004,2014,M08,2014 Aug,442300,,
LASST170000000000004,2014,M09,2014 Sep,432604,,
LASST170000000000004,2014,M10,2014 Oct,422509,,
LASST170000000000004,2014,M11,2014 Nov,411946,,
LASST170000000000004,2014,M12,2014 Dec,402698,,
LASST170000000000004,2015,M01,2015 Jan,396152,391319.9167,12859995
LASST170000000000004,2015,M02,2015 Feb,393157,,
LASST170000000000004,2015,M03,2015 Mar,392719,,
LASST170000000000004,2015,M04,2015 Apr,392931,,
LASST170000000000004,2015,M05,2015 May,391868,,
LASST170000000000004,2015,M06,2015 Jun,389160,,
LASST170000000000004,2015,M07,2015 Jul,386180,,
LASST170000000000004,2015,M08,2015 Aug,384626,,
LASST170000000000004,2015,M09,2015 Sep,385132,,
LASST170000000000004,2015,M10,2015 Oct,388222,,
LASST170000000000004,2015,M11,2015 Nov,394208,,
LASST170000000000004,2015,M12,2015 Dec,401484,,
LASST170000000000004,2016,M01,2016 Jan,407415,386372.6667,12801539
LASST170000000000004,2016,M02,2016 Feb,409956,,
LASST170000000000004,2016,M03,2016 Mar,407804,,
LASST170000000000004,2016,M04,2016 Apr,402226,,
LASST170000000000004,2016,M05,2016 May,395612,,
LASST170000000000004,2016,M06,2016 Jun,389043,,
LASST170000000000004,2016,M07,2016 Jul,382881,,
LASST170000000000004,2016,M08,2016 Aug,378125,,
LASST170000000000004,2016,M09,2016 Sep,374815,,
