Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,8.1,7.9,7.7,7.5,7.3,7.7,7.5,7.4,7.6,7.2,7.2,7.0
2014,6.5,6.4,6.3,6.2,6.5,5.9,6.1,6.1,5.4,5.7,5.7,5.3
2015,5.4,5.4,5.3,5.5,5.8,5.4,5.5,5.5,5.3,5.2,5.4,5.6
2016,5.1,5.1,5.3,5.5,5.1,5.1,5.1,5.0,5.2,5.5,5.0,5.1
2017,5.2,4.9,4.9,4.6,4.7,4.5,4.5,5.0,4.3,4.2,4.4,4.2
2018,4.5,4.4,4.3,4.3,3.9,4.1,4.1,4.0,3.7,4.0,3.5,3.8
2019,3.8,3.8,3.7,3.4,3.5,3.8,3.6,3.6,3.5,3.7,3.6,3.7
2020,3.9,3.7,4.5,17.7,15.9,12.3,10.8,9.9,9.1,8.1,7.8,7.9
2021,7.0,7.1,6.7,7.0,6.9,7.0,6.3,6.0,5.7,5.3,5.1,4.5
2022,4.5,4.4,4.0,3.8,3.8,3.6,3.6,4.4,3.7,3.9,3.9,3.6
2023,3.7,3.6,4.0,3.9,3.9,3.9,3.4,,,,,
