Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,12.0,11.3,11.1,11.6,11.0,10.7,10.8,11.1,10.5,10.9,10.7,9.8
2014,9.4,9.8,9.4,8.7,9.2,9.2,9.5,9.2,8.5,8.1,8.6,8.6
2015,8.3,8.2,8.6,8.4,8.7,8.2,8.3,7.9,7.9,7.6,6.8,6.4
2016,7.1,7.0,7.3,7.6,7.4,7.6,6.5,7.4,8.7,7.5,7.9,7.5
2017,7.4,7.5,6.5,6.5,6.1,6.5,7.1,6.1,6.7,6.0,5.4,6.3
2018,5.4,5.7,5.5,5.9,5.2,5.5,5.0,5.6,5.7,5.9,5.9,5.9
2019,5.7,5.4,5.9,5.3,5.1,5.2,4.9,5.4,4.9,5.6,5.6,5.4
2020,5.6,5.8,7.0,21.2,19.6,16.5,15.0,12.5,10.6,9.8,9.4,9.9
2021,9.0,10.2,8.4,9.4,9.0,10.3,9.3,7.7,7.6,7.1,5.7,5.3
2022,6.3,4.5,5.3,5.4,5.2,5.7,5.8,6.1,5.5,6.2,4.4,5.0
2023,4.5,5.8,4.8,5.4,5.7,6.0,5.2,,,,,
