Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,6.9,6.5,6.3,6.4,6.5,6.5,6.1,6.1,6.1,6.4,6.4,6.2
2014,5.9,6.0,6.0,5.7,5.5,5.2,5.3,5.3,5.4,4.9,4.9,5.0
2015,5.2,5.0,4.8,4.7,4.4,4.2,4.3,4.3,4.3,4.4,4.4,4.1
2016,4.3,4.3,4.1,4.2,3.9,4.1,4.2,4.2,4.2,3.9,3.9,3.8
2017,3.9,4.1,3.6,3.6,4.0,3.7,3.7,3.7,3.6,3.7,3.7,3.6
2018,3.4,3.5,3.5,3.4,3.2,3.3,3.1,3.5,3.2,3.0,3.2,3.3
2019,3.4,3.2,3.4,3.1,2.7,3.0,3.1,3.0,2.9,2.8,2.9,2.8
2020,2.8,3.0,3.8,15.5,13.8,10.9,9.6,7.7,8.2,6.6,6.4,6.4
2021,6.1,5.7,5.9,6.0,6.0,5.8,4.9,5.0,4.5,4.3,3.6,3.5
2022,3.5,3.7,3.1,3.1,3.4,3.1,2.9,2.9,2.9,3.0,3.2,2.9
2023,2.9,3.2,3.0,2.9,3.2,3.1,3.1,,,,,
