Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,6.4,6.0,5.1,5.3,4.5,4.7,5.3,5.1,5.4,5.4,5.2,4.3
2014,4.7,5.9,5.5,5.9,5.7,4.7,4.2,4.5,4.4,5.1,4.8,4.4
2015,4.0,4.0,3.2,4.4,4.1,3.9,3.9,3.4,3.5,3.5,3.9,4.1
2016,3.6,3.8,3.9,3.8,4.1,3.6,3.8,4.1,3.8,3.4,3.1,2.7
2017,3.6,3.5,3.2,3.3,3.6,3.7,3.7,3.9,3.6,3.0,3.1,2.6
2018,2.9,3.0,3.1,2.9,2.2,3.2,3.0,2.9,3.5,3.1,2.8,3.3
2019,3.0,3.2,3.1,2.3,2.5,2.1,2.7,2.7,2.5,2.8,2.6,2.6
2020,3.0,2.6,4.2,14.5,14.9,13.7,11.9,10.6,8.9,7.5,6.7,6.0
2021,6.6,5.2,6.0,5.7,5.6,5.7,5.2,4.5,4.2,4.2,3.8,3.8
2022,3.5,3.0,2.8,3.1,2.4,3.0,2.6,2.8,2.5,2.9,2.6,2.4
2023,2.8,3.4,2.8,2.8,2.9,3.2,2.3,,,,,
