Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,13.7,13.8,13.0,13.3,13.4,14.2,12.6,12.8,13.0,12.8,12.3,11.9
2014,12.1,11.8,12.1,11.6,11.4,11.0,11.6,11.4,11.0,10.6,10.9,10.6
2015,10.3,10.1,9.9,9.7,10.3,9.7,9.1,9.4,9.3,9.0,9.4,8.5
2016,8.5,8.6,8.9,8.8,8.2,8.7,8.2,8.0,8.5,8.5,8.2,8.0
2017,7.5,8.0,7.8,7.7,7.7,6.9,7.3,7.7,7.2,7.6,7.5,6.7
2018,7.5,6.8,6.7,6.4,5.9,6.4,6.5,6.3,6.1,6.5,6.1,6.6
2019,6.9,7.1,6.5,6.5,6.1,5.9,5.8,5.3,5.4,5.6,5.6,6.0
2020,6.3,6.0,6.8,16.6,16.8,15.4,14.4,12.8,12.1,10.9,10.4,10.0
2021,9.2,9.8,9.6,9.9,9.1,9.2,8.2,8.6,7.8,7.7,6.5,7.0
2022,6.9,6.6,6.2,5.9,6.2,5.9,6.0,6.4,5.9,5.9,5.7,5.7
2023,5.4,5.7,5.0,4.7,5.6,6.0,5.8,,,,,
