Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,9.7,9.7,9.3,9.0,9.0,9.1,9.4,9.2,8.8,9.1,8.7,8.3
2014,8.3,8.2,7.9,7.2,7.7,7.8,7.7,7.4,6.8,6.8,6.6,6.4
2015,6.7,6.8,6.8,6.8,6.8,6.7,6.9,6.6,6.2,6.3,6.4,6.2
2016,5.9,5.5,5.6,6.2,5.7,6.0,5.4,5.6,6.2,5.7,5.6,5.8
2017,5.8,5.6,5.0,5.2,5.2,5.0,5.1,5.1,5.1,5.0,4.9,5.0
2018,4.9,4.9,4.9,4.8,4.8,4.5,4.5,4.7,4.6,4.4,4.7,4.4
2019,4.7,4.3,4.6,4.1,4.1,4.2,4.4,4.2,4.0,4.2,4.3,4.2
2020,4.3,4.4,6.0,18.8,17.6,14.5,12.8,10.6,10.4,8.9,8.6,9.3
2021,8.5,8.4,7.7,7.7,7.1,7.2,6.4,6.1,6.2,5.7,5.2,4.8
2022,4.9,4.5,4.2,4.2,4.4,4.3,4.0,4.5,3.9,4.2,4.0,4.1
2023,4.5,5.3,4.6,4.4,4.0,4.3,4.4,,,,,
