Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,7.5,7.0,6.9,7.2,7.1,7.0,7.0,7.1,7.1,6.9,6.6,6.3
2014,6.2,6.3,6.1,5.9,5.9,5.7,5.7,5.7,5.3,5.1,5.4,5.2
2015,5.3,5.2,5.1,5.0,5.2,4.8,4.8,4.7,4.7,4.7,4.8,4.6
2016,4.3,4.4,4.5,4.7,4.4,4.5,4.7,4.5,4.7,4.6,4.4,4.4
2017,4.3,4.2,4.2,3.9,3.9,3.9,4.0,4.1,3.9,3.9,3.8,3.8
2018,3.7,3.6,3.6,3.7,3.6,3.7,3.4,3.5,3.5,3.6,3.4,3.6
2019,3.6,3.4,3.6,3.4,3.4,3.3,3.3,3.4,3.3,3.4,3.2,3.2
2020,3.2,3.2,4.1,13.0,11.6,10.1,9.3,7.9,7.4,6.7,6.6,6.4
2021,6.1,6.0,5.9,6.0,5.9,5.9,5.4,5.1,4.7,4.3,3.9,3.6
2022,3.8,3.5,3.4,3.5,3.4,3.4,3.2,3.5,3.3,3.3,3.3,3.1
2023,3.2,3.3,3.4,3.3,3.5,3.4,3.3,,,,,
